AirTemp,Date,Humidity,WindSpd
12.1,28/08/2013 17:00,63.8,0.3
10.8,28/08/2013 17:30,72.6,1.4
10.5,28/08/2013 18:00,73.5,2.0
9.7,28/08/2013 18:30,74.5,1.2
9.8,28/08/2013 19:00,75.9,1.8
9.3,28/08/2013 19:30,73.9,1.3
8.2,28/08/2013 20:00,75.5,1.2
8.7,28/08/2013 20:30,84.1,0.7
8.9,28/08/2013 21:00,84.9,1.8
7.9,28/08/2013 21:30,84.6,1.5
8.4,28/08/2013 22:00,80.0,1.2
8.8,28/08/2013 22:30,80.7,2.0
9.3,28/08/2013 23:00,79.5,1.3
7.2,28/08/2013 23:30,77.1,2.0
8.4,29/08/2013 00:00,82.5,1.2
8.2,29/08/2013 00:30,76.2,2.1
8.0,29/08/2013 01:00,71.2,1.7
6.6,29/08/2013 01:30,77.1,2.1
8.7,29/08/2013 02:00,71.2,2.5
8.3,29/08/2013 02:30,72.2,2.2
7.5,29/08/2013 03:00,71.9,2.0
6.7,29/08/2013 03:30,82.7,0.9
7.9,29/08/2013 04:00,79.8,1.9
9.0,29/08/2013 04:30,71.3,2.6
7.1,29/08/2013 05:00,75.3,2.5
8.0,29/08/2013 05:30,73.9,2.3
7.4,29/08/2013 06:00,75.2,2.6
8.8,29/08/2013 06:30,75.8,2.0
8.8,29/08/2013 07:00,73.6,0.7
7.4,29/08/2013 07:30,81.8,2.5
8.4,29/08/2013 08:00,79.7,3.0
9.3,29/08/2013 08:30,76.5,2.1
7.3,29/08/2013 09:00,76.2,1.3
6.7,29/08/2013 09:30,85.4,1.7
8.2,29/08/2013 10:00,88.4,2.7
7.1,29/08/2013 10:30,81.9,1.6
8.3,29/08/2013 11:00,89.5,1.5
8.4,29/08/2013 11:30,84.3,1.7
8.5,29/08/2013 12:00,88.4,1.3
9.0,29/08/2013 12:30,90.3,1.9
7.8,29/08/2013 13:00,89.9,0.9
9.4,29/08/2013 13:30,91.1,0.9
9.6,29/08/2013 14:00,90.8,1.2
9.3,29/08/2013 14:30,90.3,1.5
9.0,29/08/2013 15:00,90.0,1.3
9.2,29/08/2013 15:30,90.0,1.8
8.8,29/08/2013 16:00,90.0,0.6
7.9,29/08/2013 16:30,89.3,1.0
7.6,29/08/2013 17:00,89.8,0.8
8.5,29/08/2013 17:30,89.7,0.9
8.5,29/08/2013 18:00,89.1,1.2
9.1,29/08/2013 18:30,88.0,2.2
8.7,29/08/2013 19:00,89.1,0.9
9.5,29/08/2013 19:30,89.4,1.4
9.7,29/08/2013 20:00,88.9,1.6
10.0,29/08/2013 20:30,88.6,3.0
10.1,29/08/2013 21:00,88.3,2.3
10.0,29/08/2013 21:30,89.1,2.8
9.8,29/08/2013 22:00,87.6,1.8
10.2,29/08/2013 22:30,89.0,2.3
9.9,29/08/2013 23:00,90.6,3.1
9.9,29/08/2013 23:30,90.9,2.7
10.0,30/08/2013 00:00,90.4,4.2
10.0,30/08/2013 00:30,90.2,2.8
10.0,30/08/2013 01:00,90.7,2.8
10.0,30/08/2013 01:30,90.2,3.2
9.9,30/08/2013 02:00,90.7,3.5
9.9,30/08/2013 02:30,91.4,2.7
9.8,30/08/2013 03:00,91.4,3.4
9.8,30/08/2013 03:30,91.0,4.1
9.9,30/08/2013 04:00,90.1,3.4
9.9,30/08/2013 04:30,90.1,3.3
9.9,30/08/2013 05:00,90.6,3.5
9.7,30/08/2013 05:30,91.2,2.3
8.3,30/08/2013 06:00,90.9,2.0
8.0,30/08/2013 06:30,87.9,1.2
7.9,30/08/2013 07:00,86.9,0.8
7.2,30/08/2013 07:30,90.9,3.0
6.7,30/08/2013 08:00,83.8,4.5
6.1,30/08/2013 08:30,80.0,3.7
6.2,30/08/2013 09:00,81.6,2.5
6.9,30/08/2013 09:30,77.9,2.7
6.5,30/08/2013 10:00,81.7,4.5
6.5,30/08/2013 10:30,79.8,3.9
5.9,30/08/2013 11:00,80.3,4.1
6.3,30/08/2013 11:30,85.1,5.3
5.5,30/08/2013 12:00,87.4,6.5
5.3,30/08/2013 12:30,88.4,7.0
4.9,30/08/2013 13:00,79.4,5.2
5.2,30/08/2013 13:30,83.9,4.7
5.2,30/08/2013 14:00,87.5,6.2
5.0,30/08/2013 14:30,89.3,5.1
6.4,30/08/2013 15:00,70.4,2.6
6.3,30/08/2013 15:30,72.1,5.9
6.3,30/08/2013 16:00,65.0,6.4
5.6,30/08/2013 16:30,69.5,5.5
5.9,30/08/2013 17:00,67.0,6.0
5.7,30/08/2013 17:30,63.8,6.5
5.3,30/08/2013 18:00,68.2,7.8
4.5,30/08/2013 18:30,76.0,5.8
5.5,30/08/2013 19:00,63.5,8.5
6.3,30/08/2013 19:30,55.4,8.3
5.6,30/08/2013 20:00,55.8,7.6
4.6,30/08/2013 20:30,70.4,5.0
5.3,30/08/2013 21:00,61.3,6.2
6.3,30/08/2013 21:30,58.0,7.4
6.6,30/08/2013 22:00,52.9,6.5
6.7,30/08/2013 22:30,56.0,6.4
6.9,30/08/2013 23:00,49.5,6.0
6.7,30/08/2013 23:30,51.0,3.2
6.6,31/08/2013 00:00,56.6,4.9
7.1,31/08/2013 00:30,49.4,3.0
6.1,31/08/2013 01:00,61.3,2.9
5.9,31/08/2013 01:30,66.2,2.8
6.0,31/08/2013 02:00,64.5,1.2
6.7,31/08/2013 02:30,62.6,4.3
7.3,31/08/2013 03:00,60.9,5.5
7.5,31/08/2013 03:30,55.4,5.9
7.4,31/08/2013 04:00,62.0,5.3
7.3,31/08/2013 04:30,59.9,5.9
7.7,31/08/2013 05:00,60.7,6.3
7.2,31/08/2013 05:30,66.4,4.7
7.5,31/08/2013 06:00,64.4,5.2
7.6,31/08/2013 06:30,65.4,5.8
7.6,31/08/2013 07:00,66.1,5.5
7.6,31/08/2013 07:30,63.9,5.3
7.6,31/08/2013 08:00,66.1,4.4
7.9,31/08/2013 08:30,67.2,0.7
8.0,31/08/2013 09:00,63.1,6.1
8.4,31/08/2013 09:30,65.4,5.3
9.0,31/08/2013 10:00,59.4,4.5
9.3,31/08/2013 10:30,60.5,5.4
10.0,31/08/2013 11:00,63.5,4.6
10.5,31/08/2013 11:30,48.7,6.3
10.7,31/08/2013 12:00,51.0,5.4
9.7,31/08/2013 12:30,64.2,5.9
9.6,31/08/2013 13:00,64.9,0.9
9.0,31/08/2013 13:30,72.5,0.4
10.7,31/08/2013 14:00,60.9,0.5
11.0,31/08/2013 14:30,58.0,0.6
11.2,31/08/2013 15:00,65.5,0.4
11.4,31/08/2013 15:30,57.4,4.6
10.9,31/08/2013 16:00,53.5,1.4
10.0,31/08/2013 16:30,75.3,0.4
10.0,31/08/2013 17:00,73.2,1.3
9.5,31/08/2013 17:30,75.2,2.5
9.1,31/08/2013 18:00,69.8,0.5
10.2,31/08/2013 18:30,62.6,0.7
10.6,31/08/2013 19:00,60.4,0.4
9.7,31/08/2013 19:30,67.7,0.4
9.9,31/08/2013 20:00,63.5,0.6
9.6,31/08/2013 20:30,68.8,0.3
9.2,31/08/2013 21:00,78.0,0.3
8.6,31/08/2013 21:30,86.3,0.3
8.2,31/08/2013 22:00,88.8,0.3
8.1,31/08/2013 22:30,89.9,0.3
8.1,31/08/2013 23:00,90.7,0.3
8.3,31/08/2013 23:30,90.6,0.4
8.6,09/01/2013 00:00,87.6,0.4
8.8,09/01/2013 00:30,87.7,0.4
8.8,09/01/2013 01:00,88.5,0.3
8.5,09/01/2013 01:30,89.7,0.4
8.3,09/01/2013 02:00,90.1,0.3
8.2,09/01/2013 02:30,90.4,0.3
7.6,09/01/2013 03:00,90.7,0.4
7.5,09/01/2013 03:30,89.5,1.8
7.8,09/01/2013 04:00,80.4,2.5
7.3,09/01/2013 04:30,71.6,1.8
6.1,09/01/2013 05:00,80.6,0.4
7.6,09/01/2013 05:30,82.3,1.7
8.1,09/01/2013 06:00,77.5,1.6
8.1,09/01/2013 06:30,79.9,1.9
7.6,09/01/2013 07:00,80.0,1.5
7.5,09/01/2013 07:30,81.6,0.5
7.9,09/01/2013 08:00,83.6,0.4
9.0,09/01/2013 08:30,80.6,0.7
8.2,09/01/2013 09:00,81.9,0.3
8.9,09/01/2013 09:30,83.3,0.4
8.9,09/01/2013 10:00,86.7,0.3
8.5,09/01/2013 10:30,88.4,0.4
8.3,09/01/2013 11:00,88.4,0.3
10.0,09/01/2013 11:30,73.3,0.4
11.4,09/01/2013 12:00,66.4,1.4
10.6,09/01/2013 12:30,73.2,1.3
10.7,09/01/2013 13:00,74.8,0.4
11.3,09/01/2013 13:30,72.6,2.9
10.7,09/01/2013 14:00,76.0,1.9
10.6,09/01/2013 14:30,75.2,3.7
10.0,09/01/2013 15:00,74.0,2.6
10.4,09/01/2013 15:30,71.8,1.9
11.4,09/01/2013 16:00,74.6,0.7
11.2,09/01/2013 16:30,73.6,2.5
11.8,09/01/2013 17:00,71.8,3.2
11.5,09/01/2013 17:30,76.2,2.4
11.3,09/01/2013 18:00,77.2,3.4
11.5,09/01/2013 18:30,76.2,3.3
11.0,09/01/2013 19:00,78.4,3.2
10.6,09/01/2013 19:30,81.2,2.2
8.5,09/01/2013 20:00,84.4,0.3
8.9,09/01/2013 20:30,82.6,0.4
9.2,09/01/2013 21:00,87.5,0.4
7.4,09/01/2013 21:30,87.1,0.5
7.1,09/01/2013 22:00,89.0,0.3
8.2,09/01/2013 22:30,90.2,0.3
8.4,09/01/2013 23:00,90.9,1.0
8.3,09/01/2013 23:30,90.4,0.6
7.8,09/02/2013 00:00,84.2,0.6
7.9,09/02/2013 00:30,78.1,0.6
8.4,09/02/2013 01:00,66.6,0.6
8.7,09/02/2013 01:30,63.0,0.5
8.7,09/02/2013 02:00,62.5,0.5
8.0,09/02/2013 02:30,76.6,1.5
8.2,09/02/2013 03:00,74.0,0.4
8.0,09/02/2013 03:30,68.0,0.4
8.0,09/02/2013 04:00,68.2,0.4
7.9,09/02/2013 04:30,70.5,0.4
7.0,09/02/2013 05:00,76.4,0.3
6.6,09/02/2013 05:30,83.2,0.4
7.2,09/02/2013 06:00,71.1,3.8
7.0,09/02/2013 06:30,68.0,3.2
6.5,09/02/2013 07:00,72.3,1.7
6.2,09/02/2013 07:30,81.2,0.3
6.6,09/02/2013 08:00,77.9,2.8
6.7,09/02/2013 08:30,81.7,3.3
6.8,09/02/2013 09:00,75.5,0.4
7.1,09/02/2013 09:30,73.0,3.9
7.4,09/02/2013 10:00,67.9,3.1
7.6,09/02/2013 10:30,73.2,4.1
7.4,09/02/2013 11:00,77.2,4.0
7.9,09/02/2013 11:30,68.9,5.9
7.8,09/02/2013 12:00,73.1,6.3
